Age,Height,Weight,Foot_Length,Head_Circ,Chest_Circ,Neck_Circ,Waist_Circ,Shoulder_Breadth,Sitting_Ht,SittingKneeHt,SittingEyeHt,NavalHt,Pupils_Dist,ArmSpan,Writing Hand,Gender (1=M)
31,1654,54,241,535,846,360,738,433,871,508,763,973,65,1644,1,1
34,1637,85.4,247,556,1092,385,1032,513,886,512,772,970,60,1679,1,1
25,1738,87.1,272,583,1071,399,979,552,921,558,808,1025,68,1829,1,1
37,1813,107.1,287,566,1172,426,1017,548,906,602,803,1145,68,1959,1,1
32,1738,79.1,295,564,1035,384,883,502,860,569,747,1081,68,1884,2,1
27,1815,109.6,300,591,1203,455,1068,563,933,596,810,1095,66,1949,1,1
31,1736,115,267,583,1212,419,1179,546,954,539,839,997,59,1732,1,1
23,1689,86.6,275,583,1047,408,993,505,898,522,778,983,68,1719,1,1
26,1740,75.6,253,543,977,377,880,466,921,557,810,1049,62,1790,1,1
34,1782,83.4,269,577,1014,385,977,484,938,571,821,1078,65,1832,1,1
39,1784,81.2,271,565,1041,379,925,502,930,552,814,1095,60,1842,1,1
23,1647,84.5,252,566,1082,420,1010,522,870,515,762,970,58,1701,1,1
25,1740,94.1,268,576,1166,425,1004,533,930,550,815,1034,65,1776,1,1
25,1664,64.4,273,564,967,394,744,480,898,515,781,1015,67,1768,1,1
35,1805,112.4,290,590,1171,454,1045,505,925,588,812,1099,68,1913,1,1
23,1745,90.7,267,588,1078,422,936,528,883,572,779,1073,70,1857,3,1
23,1605,71.8,257,530,963,392,755,473,849,501,736,976,62,1708,1,1
26,1830,97.1,271,584,1101,420,997,545,935,596,823,1124,61,1960,1,1
31,1810,81.3,269,566,1053,394,913,501,917,571,793,1110,60,1881,1,1
35,1731,75.5,244,578,1027,370,921,489,915,525,786,1035,67,1746,2,1
27,1845,79.7,295,555,972,372,899,496,960,577,842,1119,66,1868,1,1
33,1775,64.8,288,550,915,364,734,473,897,580,790,1097,64,1907,1,1
28,1795,107.9,276,607,1142,430,1124,552,934,569,820,1042,67,1838,1,1
22,1664,87.4,267,571,1081,400,976,508,857,538,746,996,65,1773,1,1
23,1752,98.2,263,590,1108,401,1084,543,928,544,810,1047,63,1809,1,1
45,1814,89.3,269,552,1069,406,1026,521,941,570,827,1080,65,1893,1,1
39,1836,108.7,282,603,1140,415,1078,557,955,598,841,1130,67,1904,1,1
29,1628,77.5,248,574,1018,379,972,487,885,509,771,940,67,1671,1,1
39,1640,80.1,253,560,1096,422,903,511,881,517,773,986,65,1760,1,1
23,1728,87.4,280,600,1127,406,928,513,934,533,821,1003,60,1798,1,1
30,1606,56.8,244,543,907,329,779,447,864,494,757,952,62,1677,1,1
25,1861,117.4,265,602,1241,428,1149,567,1013,568,878,1061,61,1869,1,1
50,1761,86.3,266,562,1092,411,992,522,897,572,781,1058,70,1849,1,1
40,1754,97,284,583,1178,420,989,563,913,557,803,1082,68,1874,1,1
25,1741,77.9,254,568,1031,383,933,489,916,543,799,1050,63,1774,1,1
27,1657,55.6,251,516,872,365,744,439,878,514,773,976,58,1684,1,1
27,1660,53.3,257,530,884,351,714,479,873,501,763,994,64,1777,1,1
28,1678,93.3,258,577,1121,422,1147,519,923,510,802,950,64,1616,1,1
42,1735,86.6,275,567,1063,425,976,489,908,550,791,1039,73,1807,1,1
43,1750,109.6,288,597,1242,491,1077,583,923,560,813,1022,73,1867,1,1
25,1701,67.6,263,582,949,366,835,496,908,528,789,997,64,1775,1,1
23,1742,71.8,267,588,953,369,797,487,927,540,815,1044,64,1823,1,1
22,1818,91.6,284,618,1106,385,969,537,950,570,819,1110,65,1879,2,1
30,1785,87.1,276,575,1094,385,918,533,942,573,820,1086,62,1898,1,1
34,1666,70.1,266,564,954,395,776,479,853,535,732,1010,68,1766,1,1
28,1781,111.5,273,592,1242,443,1124,576,937,568,819,1060,70,1850,1,1
25,1802,108.4,274,594,1166,417,1146,562,943,573,819,1097,68,1891,1,1
23,1669,63.7,257,570,904,369,797,463,889,520,784,986,61,1770,1,1
25,1837,96.4,298,555,1071,379,1032,499,976,567,871,1098,64,1911,1,1
24,1881,105.4,276,584,1182,428,1005,560,965,590,846,1153,69,1997,1,1
26,1782,88.7,274,593,1052,416,921,527,955,562,846,1085,67,1852,1,1
51,1900,114.5,294,577,1162,421,1132,555,961,623,852,1148,70,2035,1,1
26,1755,89,271,583,1069,396,988,527,954,542,841,1007,65,1793,1,1
23,1730,68.8,266,563,957,360,797,473,937,534,815,1026,60,1718,1,1
44,1624,71,248,544,1020,391,897,501,843,515,742,975,59,1766,1,1
30,1755,102.1,259,578,1198,414,1145,558,920,545,791,1043,65,1875,1,1
53,1703,78.4,263,560,1079,395,1003,498,880,544,762,1014,65,1755,1,1
29,1762,110.5,272,577,1172,416,1175,563,912,574,804,1036,62,1832,1,1
34,1720,81.9,251,543,1008,398,987,487,910,538,797,1030,65,1806,1,1
34,1711,87.1,255,563,1168,416,1043,517,895,523,789,990,61,1781,1,1
19,1927,86.9,297,576,1027,405,842,485,993,607,878,1169,73,2022,1,1
31,1784,77.5,277,555,1068,382,915,500,943,560,834,1050,62,1831,1,1
26,1835,109.8,277,594,1139,420,1076,553,1000,574,890,1090,67,1828,1,1
31,1823,96.5,288,584,1076,399,968,524,977,589,866,1079,64,1907,2,1
28,1640,67.4,253,573,1045,382,822,494,863,515,758,971,65,1739,3,1
31,1704,102.6,264,604,1231,455,1108,542,898,542,785,1014,70,1844,1,1
22,1730,60.1,268,570,913,366,719,480,867,559,749,1077,62,1852,1,1
26,1656,67.6,263,566,960,387,869,476,896,502,785,949,66,1746,1,1
28,1668,86.7,272,573,1043,408,931,528,880,528,767,1003,68,1778,1,1
32,1635,82.6,252,566,1089,425,939,519,898,506,782,965,65,1712,1,1
28,1861,86.2,295,575,1019,369,884,531,957,592,839,1149,73,1960,1,1
25,1667,82.1,266,596,1097,407,912,519,900,525,775,968,64,1729,1,1
21,1760,67.5,263,584,963,377,812,494,937,548,818,1071,61,1794,1,1
24,1752,86,266,575,1074,395,957,533,941,546,820,1038,64,1789,2,1
25,1886,95.4,294,564,1069,408,1008,541,1011,586,888,1099,63,1928,1,1
35,1729,97,270,583,1168,425,1121,510,894,565,774,1026,64,1801,1,1
25,1790,89.5,270,600,1087,385,946,522,939,545,823,1069,63,1811,1,1
22,1745,101.6,268,595,1173,442,1029,526,964,527,846,978,67,1790,1,1
25,1677,75.8,244,550,1002,398,913,498,905,520,800,1008,56,1743,1,1
24,1725,71.5,277,558,1022,385,828,494,893,548,783,1052,67,1859,2,1
29,1748,88.4,284,575,1076,411,972,507,915,550,804,1061,65,1815,1,1
29,1610,45.9,249,562,820,340,694,414,856,493,726,959,60,1673,1,1
40,1705,75.6,250,590,1030,389,872,500,947,509,829,994,65,1723,1,1
27,1833,99.5,283,581,1131,440,1010,524,960,594,838,1129,70,1896,1,1
36,1820,113.8,273,572,1183,444,1141,563,983,579,873,1070,68,1849,2,1
24,1776,84,276,573,999,406,908,511,945,564,824,1096,63,1797,1,1
24,1791,111.4,293,602,1115,425,1091,572,927,569,804,1065,66,1872,1,1
33,1970,90.2,306,580,1072,399,948,509,985,643,863,1223,63,2073,2,1
30,1814,92.4,284,608,1063,419,944,524,928,574,819,1108,71,1929,1,1
30,1782,86,281,545,1099,367,1012,521,939,574,827,1057,64,1856,1,1
36,1717,84.2,267,572,1043,417,893,505,911,540,803,1035,69,1800,1,1
29,1860,93.9,288,568,1113,404,992,540,990,581,875,1102,65,1920,1,1
22,1763,92.1,267,590,1121,395,939,529,945,557,816,1054,67,1796,2,1
22,1624,72.4,251,563,1015,366,912,496,889,515,779,970,64,1693,1,1
24,1723,88.6,258,553,1011,386,942,499,920,543,800,1025,59,1774,1,1
30,1674,75.3,243,552,1058,387,848,518,926,504,815,986,68,1708,1,1
30,1744,85.7,294,590,1034,386,877,502,886,578,775,1084,70,1856,1,1
36,1748,98,277,575,1138,436,1086,545,879,572,772,1050,67,1907,1,1
42,1805,74.4,273,560,937,392,902,450,932,581,819,1103,68,1862,1,1
21,1775,68,265,567,953,377,826,471,908,559,803,1090,60,1826,1,1
42,1730,67.7,273,583,976,355,815,482,911,537,795,1017,74,1785,1,1
20,1740,73.5,262,550,1008,361,919,478,898,553,793,1060,58,1789,1,1
32,1752,64.9,264,580,893,380,766,462,881,574,775,1096,67,1876,1,1
32,1673,76.6,251,555,1024,411,978,476,869,528,754,991,64,1693,1,1
38,1850,86,279,573,1029,380,892,512,932,593,822,1133,67,1936,1,1
20,1802,80.9,285,572,1066,387,904,508,860,597,746,1155,65,1942,1,1
21,1727,80.1,255,562,1011,375,952,503,952,533,840,990,62,1749,1,1
22,1717,77.3,264,580,988,371,911,469,887,547,782,1018,69,1773,1,1
19,1672,88,283,615,1068,414,903,556,846,557,729,1035,71,1836,1,1
20,1850,90.5,266,570,1065,381,904,512,972,587,856,1121,70,1899,2,1
20,1958,86.6,280,602,962,373,908,445,992,619,866,1195,63,1932,2,1
22,1708,84.5,271,586,1094,370,958,522,896,550,789,1041,57,1747,1,1
38,1923,120.3,293,605,1228,441,1104,593,1015,620,903,1163,68,1967,1,1
24,1684,76.9,250,555,979,380,891,495,929,519,823,983,60,1747,1,1
25,1762,99.5,269,563,1094,405,1106,533,906,565,799,1047,60,1821,1,1
31,1869,105.4,288,583,1201,419,1120,546,976,599,852,1108,64,1884,2,1
42,1768,87.2,279,558,1054,385,995,512,923,552,816,1033,64,1834,1,1
35,1668,75,263,556,1080,373,922,505,864,525,754,978,65,1712,1,1
27,1658,86.5,253,577,1123,405,1060,521,894,520,781,960,68,1719,1,1
22,1823,96.2,275,571,1106,401,1045,500,928,590,811,1105,65,1923,1,1
